scenario,rho,mu,propulsion,speed,Re
fish,1000.0,1e-05,Fin,0.12453131767791004,1245313.1767791004
fish,1000.0,1e-05,Flagella,9.382936149434883e-07,9.382936149434883
fish,1000.0,1.5135612484362071e-05,Fin,0.12452900071724864,822754.9486081946
fish,1000.0,1.5135612484362071e-05,Flagella,1.420105861720572e-06,9.382546383159635
fish,1000.0,2.290867652767775e-05,Fin,0.12452553006906439,543573.6539324542
fish,1000.0,2.290867652767775e-05,Flagella,2.1492820678349616e-06,9.381956505598424
fish,1000.0,3.467368504525317e-05,Fin,0.12452039808385001,359120.7508556893
fish,1000.0,3.467368504525317e-05,Flagella,3.2527605234105938e-06,9.38106382164274
fish,1000.0,5.248074602497723e-05,Fin,0.12451293159861841,237254.50003961223
fish,1000.0,5.248074602497723e-05,Flagella,4.92254335310275e-06,9.37971299180838
fish,1000.0,7.943282347242822e-05,Fin,0.1245022561463442,156739.05408833912
fish,1000.0,7.943282347242822e-05,Flagella,7.448947357704937e-06,9.377669119731754
fish,1000.0,0.00012022644346174131,Fin,0.12448720114988837,103543.9438824479
fish,1000.0,0.00012022644346174131,Flagella,1.1270720730326639e-05,9.374577177701534
fish,1000.0,0.00018197008586099826,Fin,0.1244660479254713,68399.1807425685
fish,1000.0,0.00018197008586099826,Flagella,1.7050416819795514e-05,9.369900958787172
fish,1000.0,0.0002754228703338166,Fin,0.12443598822091764,45179.97654664603
fish,1000.0,0.0002754228703338166,Flagella,2.578737928541052e-05,9.362831508565659
fish,1000.0,0.0004168693834703355,Fin,0.12439227995360036,29839.629602458474
fish,1000.0,0.0004168693834703355,Flagella,3.898625182434076e-05,9.352150426541227
fish,1000.0,0.000630957344480193,Fin,0.12432722754259296,19704.53765698195
fish,1000.0,0.000630957344480193,Flagella,5.890634977929938e-05,9.336027275794484
fish,1000.0,0.0009549925860214359,Fin,0.12422924038159593,13008.398410624673
fish,1000.0,0.0009549925860214359,Flagella,8.892626159832834e-05,9.311722719105202
fish,1000.0,0.001445439770745928,Fin,0.12408060602436977,8584.280613804975
fish,1000.0,0.001445439770745928,Flagella,0.00013406686889612902,9.27516120764707
fish,1000.0,0.002187761623949552,Fin,0.12385075423911168,5661.071703759238
fish,1000.0,0.002187761623949552,Flagella,0.0002017189153485548,9.220333382774717
fish,1000.0,0.003311311214825911,Fin,0.12347942484105921,3729.019014830082
fish,1000.0,0.003311311214825911,Flagella,0.0003026041734932557,9.13849994341788
fish,1000.0,0.005011872336272719,Fin,0.12281453834808147,2450.472200962274
fish,1000.0,0.005011872336272719,Flagella,0.0004519315893288904,9.017220691319276
fish,1000.0,0.007585775750291836,Fin,0.12115321665565507,1597.110442541017
fish,1000.0,0.007585775750291836,Flagella,0.0006705351295978275,8.8393745303113
fish,1000.0,0.01148153621496883,Fin,0.10592117698421709,922.5348855854709
fish,1000.0,0.01148153621496883,Flagella,0.0009854200403092697,8.582649759224271
fish,1000.0,0.017378008287493744,Fin,0.10057897375162157,578.771583530687
fish,1000.0,0.017378008287493744,Flagella,0.0014285683856139287,8.22055302299523
fish,1000.0,0.026302679918953815,Fin,0.09410405660179934,357.7736447075402
fish,1000.0,0.026302679918953815,Flagella,0.002032339390699025,7.7267388606835965
fish,1000.0,0.03981071705534969,Fin,0.0863586096058852,216.92301971305614
fish,1000.0,0.03981071705534969,Flagella,0.002820483924463962,7.084735300151924
fish,1000.0,0.060255958607435746,Fin,0.07726331356222674,128.2251836131145
fish,1000.0,0.060255958607435746,Flagella,0.003797955459633983,6.303037155839565
fish,1000.0,0.09120108393559097,Fin,0.06682956299708206,73.27715868407789
fish,1000.0,0.09120108393559097,Flagella,0.004950887856180847,5.428540585852376
fish,1000.0,0.13803842646028838,Fin,0.05517746697697749,39.97254126397278
fish,1000.0,0.13803842646028838,Flagella,0.006269715462456265,4.542007340441518
fish,1000.0,0.2089296130854041,Fin,0.042461562299977544,20.323381483801697
fish,1000.0,0.2089296130854041,Flagella,0.007782133031297666,3.724763051237053
fish,1000.0,0.31622776601683794,Fin,0.028483911175613594,9.007403598486329
fish,1000.0,0.31622776601683794,Flagella,0.009550630243230978,3.0201744658697818
fish,1000.0,0.47863009232263803,Fin,0.010056042989431573,2.1010051709521287
fish,1000.0,0.47863009232263803,Flagella,0.011632893603820964,2.430455959709986
fish,1000.0,0.7244359600749891,Fin,0.00046861979294910816,0.06468753882684117
fish,1000.0,0.7244359600749891,Flagella,0.014061249711158458,1.9409927841935022
