scenario,propulsion,L,freq,speed,Re,mu,rho
bacteria,Fin,5e-07,1.0,5.305164083287462e-16,2.652582041643731e-16,0.001,1000.0
bacteria,Fin,5e-07,1.13029417474705,6.777691535435255e-16,3.3888457677176277e-16,0.001,1000.0
bacteria,Fin,5e-07,1.2775649214671148,8.658940954196596e-16,4.3294704770982976e-16,0.001,1000.0
bacteria,Fin,5e-07,1.4440241885954521,1.106235922013641e-15,5.531179610068204e-16,0.001,1000.0
bacteria,Fin,5e-07,1.632172128563275,1.413288208831438e-15,7.066441044157189e-16,0.001,1000.0
bacteria,Fin,5e-07,1.8448346490995629,1.8055674395260985e-15,9.02783719763049e-16,0.001,1000.0
bacteria,Fin,5e-07,2.085205857248754,2.306729624081684e-15,1.1533648120408417e-15,0.001,1000.0
bacteria,Fin,5e-07,2.356896033596695,2.9469968510356865e-15,1.4734984255178433e-15,0.001,1000.0
bacteria,Fin,5e-07,2.6639858572587722,3.764979800557088e-15,1.882489900278544e-15,0.001,1000.0
bacteria,Fin,5e-07,3.0110876960681163,4.810006123223744e-15,2.4050030616118717e-15,0.001,1000.0
bacteria,Fin,5e-07,3.4034148825183075,6.145095095072268e-15,3.0725475475361336e-15,0.001,1000.0
bacteria,Fin,5e-07,3.8468600159578585,7.850757932543288e-15,3.925378966271644e-15,0.001,1000.0
bacteria,Fin,5e-07,4.348083467104511,1.002985294154591e-14,5.0149264707729546e-15,0.001,1000.0
bacteria,Fin,5e-07,4.914613414182186,1.2813788285591005e-14,6.406894142795502e-15,0.001,1000.0
bacteria,Fin,5e-07,5.5549589131838335,1.6370446424774394e-14,8.185223212387195e-15,0.001,1000.0
bacteria,Fin,5e-07,6.2787377005308915,2.091430810104377e-14,1.0457154050521884e-14,0.001,1000.0
bacteria,Fin,5e-07,7.096820647674755,2.6719386386641245e-14,1.3359693193320621e-14,0.001,1000.0
bacteria,Fin,5e-07,8.021495037291361,3.4135750770686164e-14,1.706787538534308e-14,0.001,1000.0
bacteria,Fin,5e-07,9.066649113412797,4.3610637752552e-14,2.1805318876276e-14,0.001,1000.0
