scenario,propulsion,L,freq,speed,Re,mu,rho
fish,Fin,0.01,0.1,1.9045557603677342e-07,0.001904555760367734,0.001,1000.0
fish,Fin,0.01,0.11138033265330273,2.340791323180696e-07,0.002340791323180696,0.001,1000.0
fish,Fin,0.01,0.12405578501960376,2.8710498655092543e-07,0.002871049865509254,0.001,1000.0
fish,Fin,0.01,0.13817374603050078,3.5128032378476026e-07,0.003512803237847603,0.001,1000.0
fish,Fin,0.01,0.15389837796830147,4.2855290200966915e-07,0.004285529020096691,0.001,1000.0
fish,Fin,0.01,0.17141252532913134,5.210424492730272e-07,0.0052104244927302715,0.001,1000.0
fish,Fin,0.01,0.19091984092101327,6.309900378682281e-07,0.00630990037868228,0.001,1000.0
fish,Fin,0.01,0.21264715391898104,7.606849075611722e-07,0.007606849075611722,0.001,1000.0
fish,Fin,0.01,0.2368471074127418,9.123736999929095e-07,0.009123736999929095,0.001,1000.0
fish,Fin,0.01,0.263801096116037,1.0943441817655714e-06,0.010943441817655714,0.001,1000.0
fish,Fin,0.01,0.2938225383971009,1.3350852501264159e-06,0.013350852501264159,0.001,1000.0
fish,Fin,0.01,0.3272605206770692,1.6429442383716306e-06,0.016429442383716308,0.001,1000.0
fish,Fin,0.01,0.36450385657305023,2.0294593549566805e-06,0.0202945935495668,0.001,1000.0
fish,Fin,0.01,0.4059856079851809,2.511614750822722e-06,0.02511614750822722,0.001,1000.0
fish,Fin,0.01,0.45218812069842806,3.1114391765452074e-06,0.031114391765452075,0.001,1000.0
fish,Fin,0.01,0.5036486330526273,3.856685308517108e-06,0.038566853085171084,0.001,1000.0
fish,Fin,0.01,0.5609655228978283,4.78199647476448e-06,0.04781996474764481,0.001,1000.0
fish,Fin,0.01,0.6248052654739402,5.930469032820361e-06,0.05930469032820361,0.001,1000.0
fish,Fin,0.01,0.695910183120226,7.355637678591901e-06,0.073556376785919,0.001,1000.0
fish,Fin,0.01,0.7751070769275159,9.182620837590987e-06,0.09182620837590987,0.001,1000.0
fish,Fin,0.01,0.8633168407011585,1.2791820401543412e-05,0.12791820401543413,0.001,1000.0
fish,Fin,0.01,0.9615651690249339,2.099779479824916e-05,0.20997794798249161,0.001,1000.0
fish,Fin,0.01,1.0709944839382644,4.101458845437812e-05,0.41014588454378115,0.001,1000.0
fish,Fin,0.01,1.1928772189089618,9.324025327945689e-05,0.932402532794569,0.001,1000.0
fish,Fin,0.01,1.3286306145662679,0.00021642382369687594,2.1642382369687594,0.001,1000.0
fish,Fin,0.01,1.4798331982375295,0.0004464847386648154,4.464847386648153,0.001,1000.0
fish,Fin,0.01,1.64824313891097,0.000780011482207257,7.80011482207257,0.001,1000.0
fish,Fin,0.01,1.8358186910542769,0.001194295391155012,11.94295391155012,0.001,1000.0
fish,Fin,0.01,2.0447409650077613,0.0016756969593137447,16.75696959313745,0.001,1000.0
fish,Fin,0.01,2.277439288723997,0.0022221348608001236,22.221348608001236,0.001,1000.0
fish,Fin,0.01,2.536619455757801,0.0028383134927652326,28.383134927652325,0.001,1000.0
fish,Fin,0.01,2.8252951879714354,0.003532450619494861,35.32450619494861,0.001,1000.0
fish,Fin,0.01,3.1468231788003393,0.004314765770385082,43.147657703850825,0.001,1000.0
fish,Fin,0.01,3.5049421245590535,0.005196938713996366,51.969387139963665,0.001,1000.0
fish,Fin,0.01,3.90381619763961,0.006192104790960411,61.92104790960411,0.001,1000.0
fish,Fin,0.01,4.348083467104513,0.007315002572485415,73.15002572485416,0.001,1000.0
