scenario,propulsion,L,freq,speed,Re,mu,rho
bacteria,Flagella,5e-07,1.0,1.1999274866170022e-06,5.999637433085011e-07,0.001,1000.0
bacteria,Flagella,5e-07,1.13029417474705,1.356260447506906e-06,6.781302237534529e-07,0.001,1000.0
bacteria,Flagella,5e-07,1.2775649214671148,1.5329597405804613e-06,7.664798702902307e-07,0.001,1000.0
bacteria,Flagella,5e-07,1.4440241885954521,1.732678163902664e-06,8.66339081951332e-07,0.001,1000.0
bacteria,Flagella,5e-07,1.632172128563275,1.9584139331637097e-06,9.792069665818546e-07,0.001,1000.0
bacteria,Flagella,5e-07,1.8448346490995629,2.213555545912123e-06,1.1067777729560613e-06,0.001,1000.0
bacteria,Flagella,5e-07,2.085205857248754,2.5019327466179988e-06,1.2509663733089994e-06,0.001,1000.0
bacteria,Flagella,5e-07,2.356896033596695,2.827873772169861e-06,1.4139368860849304e-06,0.001,1000.0
bacteria,Flagella,5e-07,2.6639858572587722,3.1962701829017435e-06,1.5981350914508715e-06,0.001,1000.0
bacteria,Flagella,5e-07,3.0110876960681163,3.6126501077506932e-06,1.8063250538753464e-06,0.001,1000.0
bacteria,Flagella,5e-07,3.4034148825183075,4.083260971028909e-06,2.041630485514454e-06,0.001,1000.0
bacteria,Flagella,5e-07,3.8468600159578585,4.615162938598684e-06,2.3075814692993416e-06,0.001,1000.0
bacteria,Flagella,5e-07,4.348083467104511,5.216334463680244e-06,2.608167231840122e-06,0.001,1000.0
bacteria,Flagella,5e-07,4.914613414182186,5.895791487814462e-06,2.947895743907231e-06,0.001,1000.0
bacteria,Flagella,5e-07,5.5549589131838335,6.663722049381924e-06,3.3318610246909615e-06,0.001,1000.0
bacteria,Flagella,5e-07,6.2787377005308915,7.531638273016147e-06,3.7658191365080736e-06,0.001,1000.0
bacteria,Flagella,5e-07,7.096820647674755,8.512547960939841e-06,4.25627398046992e-06,0.001,1000.0
bacteria,Flagella,5e-07,8.021495037291361,9.621148284629282e-06,4.810574142314641e-06,0.001,1000.0
bacteria,Flagella,5e-07,9.066649113412797,1.0874044385435756e-05,5.437022192717877e-06,0.001,1000.0
bacteria,Flagella,5e-07,10.24798067736599,1.2289996039247106e-05,6.144998019623552e-06,0.001,1000.0
bacteria,Flagella,5e-07,11.583232862547103,1.3890195926543585e-05,6.945097963271793e-06,0.001,1000.0
bacteria,Flagella,5e-07,13.09246062927559,1.5698583479032246e-05,7.849291739516123e-06,0.001,1000.0
bacteria,Flagella,5e-07,14.798331982375295,1.7742198751291016e-05,8.871099375645506e-06,0.001,1000.0
bacteria,Flagella,5e-07,16.726468435651757,2.0051581294381484e-05,1.002579064719074e-05,0.001,1000.0
bacteria,Flagella,5e-07,18.905829836907586,2.266121959197179e-05,1.1330609795985893e-05,0.001,1000.0
bacteria,Flagella,5e-07,21.36914933341561,2.561005726164401e-05,1.2805028630822004e-05,0.001,1000.0
bacteria,Flagella,5e-07,24.15342501085948,2.8942062927751004e-05,1.4471031463875502e-05,0.001,1000.0
bacteria,Flagella,5e-07,27.300475589964165,3.270687143964723e-05,1.6353435719823616e-05,0.001,1000.0
bacteria,Flagella,5e-07,30.85756852716052,3.696050494138002e-05,1.848025247069001e-05,0.001,1000.0
bacteria,Flagella,5e-07,34.878129953107454,4.176618319533663e-05,2.0883091597668317e-05,0.001,1000.0
bacteria,Flagella,5e-07,39.422547112067946,4.7195233519929764e-05,2.359761675996488e-05,0.001,1000.0
