scenario,mu,propulsion,speed,Re,eff,L,freq
bacteria,1.8e-05,Fin,6.9816449832116935e-12,1.939345828669915e-09,0.02,5e-06,5.0
bacteria,1.8e-05,Flagella,5.102218626644642e-06,0.001417282951845734,1.1990315797071582,5e-06,5.0
bacteria,1.8e-05,Fin,4.408393508829195e-11,1.2245537524525542e-08,0.02,5e-06,12.564102564102564
bacteria,1.8e-05,Flagella,1.13067054478923e-05,0.0031407515133034165,1.1977049688352224,5e-06,12.564102564102564
bacteria,1.8e-05,Fin,1.1314278558866867e-10,3.142855155240797e-08,0.02,5e-06,20.128205128205128
bacteria,1.8e-05,Flagella,1.643282870298111e-05,0.004564674639716975,1.1965591109669682,5e-06,20.128205128205128
bacteria,1.8e-05,Fin,2.1415791359485649e-10,5.948830933190457e-08,0.02,5e-06,27.692307692307693
bacteria,1.8e-05,Flagella,2.088304237499293e-05,0.0058008451041647036,1.1955402992478013,5e-06,27.692307692307693
bacteria,1.8e-05,Fin,3.4712890531766496e-10,9.64246959215736e-08,0.02,5e-06,35.256410256410255
bacteria,1.8e-05,Flagella,2.4864908335285905e-05,0.006906918982023862,1.1946140734046278,5e-06,35.256410256410255
bacteria,1.8e-05,Fin,5.120552160749835e-10,1.4223756002082875e-07,0.02,5e-06,42.82051282051282
bacteria,1.8e-05,Flagella,2.8499475817437286e-05,0.007916521060399247,1.1937586403056646,5e-06,42.82051282051282
bacteria,1.8e-05,Fin,7.089361703007145e-10,1.969267139724207e-07,0.02,5e-06,50.38461538461539
bacteria,1.8e-05,Flagella,3.186380348935868e-05,0.008851056524821857,1.192959492519518,5e-06,50.38461538461539
bacteria,1.8e-05,Fin,9.377709615558454e-10,2.604919337655126e-07,0.02,5e-06,57.94871794871795
bacteria,1.8e-05,Flagella,3.5010247920444115e-05,0.009725068866790034,1.192206478850682,5e-06,57.94871794871795
bacteria,1.8e-05,Fin,1.1985586525416696e-09,3.329329590393527e-07,0.02,5e-06,65.51282051282051
bacteria,1.8e-05,Flagella,3.894865918387135e-05,0.010819071995519819,1.1912571217005408,5e-06,65.51282051282051
bacteria,1.8e-05,Fin,1.4912981751151668e-09,4.1424949308754637e-07,0.02,5e-06,73.07692307692308
bacteria,1.8e-05,Flagella,4.338965035503089e-05,0.012052680654175247,1.1901785600151906,5e-06,73.07692307692308
bacteria,1.8e-05,Fin,1.8159883303064883e-09,5.044412028629134e-07,0.02,5e-06,80.64102564102564
bacteria,1.8e-05,Flagella,4.782956251407872e-05,0.013285989587244088,1.189092717965119,5e-06,80.64102564102564
bacteria,1.8e-05,Fin,2.1726277883386417e-09,6.035077189829561e-07,0.02,5e-06,88.2051282051282
bacteria,1.8e-05,Flagella,5.226360072093551e-05,0.01451766686692653,1.188001640321155,5e-06,88.2051282051282
bacteria,1.8e-05,Fin,2.5612150886492627e-09,7.114486357359065e-07,0.02,5e-06,95.76923076923077
bacteria,1.8e-05,Flagella,5.669048699867648e-05,0.015747357499632356,1.1869063845415517,5e-06,95.76923076923077
bacteria,1.8e-05,Fin,2.9817486399145718e-09,8.28263511087381e-07,0.02,5e-06,103.33333333333333
bacteria,1.8e-05,Flagella,6.110970477581583e-05,0.016974917993282178,1.1858077130021902,5e-06,103.33333333333333
bacteria,1.8e-05,Fin,3.434226720075449e-09,9.53951866687625e-07,0.02,5e-06,110.8974358974359
bacteria,1.8e-05,Flagella,6.552100126140408e-05,0.0182002781281678,1.1847062357143934,5e-06,110.8974358974359
bacteria,1.8e-05,Fin,3.918647476365666e-09,1.0885131878793516e-06,0.02,5e-06,118.46153846153845
bacteria,1.8e-05,Flagella,6.992423736308297e-05,0.019423399267523046,1.183602463729677,5e-06,118.46153846153845
bacteria,1.8e-05,Fin,4.435008925342233e-09,1.2319469237061759e-06,0.02,5e-06,126.02564102564102
bacteria,1.8e-05,Flagella,7.431933124012335e-05,0.020644258677812045,1.1824968358151182,5e-06,126.02564102564102
bacteria,1.8e-05,Fin,4.983308952917908e-09,1.384252486921641e-06,0.02,5e-06,133.5897435897436
bacteria,1.8e-05,Flagella,7.870623620555982e-05,0.021862843390433286,1.1813897338029948,5e-06,133.5897435897436
bacteria,1.8e-05,Fin,5.563545314395857e-09,1.5454292539988492e-06,0.02,5e-06,141.15384615384616
bacteria,1.8e-05,Flagella,8.3084921195382e-05,0.023079144776495,1.180281495233914,5e-06,141.15384615384616
bacteria,1.8e-05,Fin,6.175715634506366e-09,1.7154765651406574e-06,0.02,5e-06,148.7179487179487
bacteria,1.8e-05,Flagella,8.745537259738289e-05,0.02429315905482858,1.1791724190465747,5e-06,148.7179487179487
bacteria,1.8e-05,Fin,6.819817407445859e-09,1.8943937242905165e-06,0.02,5e-06,156.28205128205127
bacteria,1.8e-05,Flagella,9.181758179347481e-05,0.025504883831520782,1.1780627736831042,5e-06,156.28205128205127
bacteria,1.8e-05,Fin,7.49584799691783e-09,2.0821799991438416e-06,0.02,5e-06,163.84615384615384
bacteria,1.8e-05,Flagella,9.617154965614533e-05,0.02671431934892926,1.1769527999820493,5e-06,163.84615384615384
bacteria,1.8e-05,Fin,8.203804636176083e-09,2.278834621160023e-06,0.02,5e-06,171.4102564102564
bacteria,1.8e-05,Flagella,0.00010051727898741608,0.02792146638539336,1.1758427164170175,5e-06,171.4102564102564
bacteria,1.8e-05,Fin,8.943684428070044e-09,2.4843567855750127e-06,0.02,5e-06,178.97435897435898
bacteria,1.8e-05,Flagella,0.00010485477869032485,0.029126327413979126,1.1747327207859666,5e-06,178.97435897435898
bacteria,1.8e-05,Fin,9.71548434509218e-09,2.698745651414495e-06,0.02,5e-06,186.53846153846155
bacteria,1.8e-05,Flagella,0.00010918405987134244,0.030328905519817345,1.1736229935084743,5e-06,186.53846153846155
bacteria,1.8e-05,Fin,1.0519201229427568e-08,2.922000341507658e-06,0.02,5e-06,194.1025641025641
bacteria,1.8e-05,Flagella,0.00011350513500967707,0.031529204169354744,1.172513699783919,5e-06,194.1025641025641
bacteria,1.8e-05,Fin,1.1354831793005591e-08,3.1541199425015533e-06,0.02,5e-06,201.66666666666666
bacteria,1.8e-05,Flagella,0.00011781802018702028,0.03272722782972786,1.171404990671009,5e-06,201.66666666666666
bacteria,1.8e-05,Fin,1.2222372617553762e-08,3.3951035048760454e-06,0.02,5e-06,209.23076923076923
bacteria,1.8e-05,Flagella,0.0001221227317703442,0.033922981047317835,1.1702970053521242,5e-06,209.23076923076923
bacteria,1.8e-05,Fin,1.3121820154653703e-08,3.6449500429593623e-06,0.02,5e-06,216.7948717948718
bacteria,1.8e-05,Flagella,0.0001264192883637281,0.035116468989924474,1.1691898718483864,5e-06,216.7948717948718
bacteria,1.8e-05,Fin,1.4053170725799102e-08,3.903658534944195e-06,0.02,5e-06,224.35897435897436
bacteria,1.8e-05,Flagella,0.00013070770918269985,0.036307696995194406,1.168083708490864,5e-06,224.35897435897436
bacteria,1.8e-05,Fin,1.501642052245599e-08,4.171227922904442e-06,0.02,5e-06,231.9230769230769
bacteria,1.8e-05,Flagella,0.00013498801694006345,0.03749667137223985,1.1669786240922944,5e-06,231.9230769230769
bacteria,1.8e-05,Fin,1.601156560612505e-08,4.447657112812514e-06,0.02,5e-06,239.48717948717947
bacteria,1.8e-05,Flagella,0.00013926023084078815,0.03868339745577449,1.1658747205567859,5e-06,239.48717948717947
bacteria,1.8e-05,Fin,1.7038601908405934e-08,4.7329449745572044e-06,0.02,5e-06,247.05128205128204
bacteria,1.8e-05,Flagella,0.00014352437562726336,0.03986788211868427,1.164772091248771,5e-06,247.05128205128204
bacteria,1.8e-05,Fin,1.809752523106393e-08,5.0270903419622024e-06,0.02,5e-06,254.6153846153846
bacteria,1.8e-05,Flagella,0.00014778047258649188,0.04105013127402552,1.1636708239378253,5e-06,254.6153846153846
bacteria,1.8e-05,Fin,1.918833124609845e-08,5.330092012805126e-06,0.02,5e-06,262.1794871794872
bacteria,1.8e-05,Flagella,0.00015202854633360766,0.04223015175933546,1.1625709995959876,5e-06,262.1794871794872
bacteria,1.8e-05,Fin,2.031101549581391e-08,5.6419487488371976e-06,0.02,5e-06,269.7435897435897
bacteria,1.8e-05,Flagella,0.00015626862302422215,0.043407950840061715,1.1614726933486919,5e-06,269.7435897435897
bacteria,1.8e-05,Fin,2.1465573392892465e-08,5.962659275803463e-06,0.02,5e-06,277.3076923076923
bacteria,1.8e-05,Flagella,0.0001605007261903188,0.04458353505286634,1.1603759759908499,5e-06,277.3076923076923
bacteria,1.8e-05,Fin,2.2652000220469107e-08,6.292222283463641e-06,0.02,5e-06,284.87179487179486
bacteria,1.8e-05,Flagella,0.00016472488152314277,0.04575691153420633,1.1592809131398838,5e-06,284.87179487179486
bacteria,1.8e-05,Fin,2.3870291132208616e-08,6.630636425613505e-06,0.02,5e-06,292.4358974358974
bacteria,1.8e-05,Flagella,0.00016894111502820564,0.0469280875078349,1.1581875660650867,5e-06,292.4358974358974
bacteria,1.8e-05,Fin,2.512044115238471e-08,6.977900320106865e-06,0.02,5e-06,300.0
bacteria,1.8e-05,Flagella,0.00017314945300264548,0.048097070278512635,1.157095992010475,5e-06,300.0
bacteria,0.001,Fin,1.3262911923445037e-13,6.631455961722518e-13,0.02,5e-06,5.0
bacteria,0.001,Flagella,5.982034168901147e-06,2.991017084450574e-05,1.1999853070600222,5e-06,5.0
bacteria,0.001,Fin,8.374556611957709e-13,4.187278305978855e-12,0.02,5e-06,12.564102564102564
bacteria,0.001,Flagella,1.4964456048327174e-05,7.482228024163587e-05,1.1999602394057014,5e-06,12.564102564102564
bacteria,0.001,Fin,2.149359077392149e-12,1.0746795386960745e-11,0.02,5e-06,20.128205128205128
bacteria,0.001,Flagella,2.3867684415520487e-05,0.00011933842207760243,1.199933995175541,5e-06,20.128205128205128
