scenario,L,propulsion,speed,Re,eff,mu,rho,freq
bacteria,1e-06,Fin,1.0610329528201397e-11,1.0610329528201396e-11,0.02,0.001,1000.0,100.0
bacteria,1e-06,Flagella,0.00011858715332392747,0.00011858715332392746,1.1999344461727632,0.001,1000.0,100.0
bacteria,1.383648068032461e-06,Fin,1.4680961938639223e-11,2.0313284623256252e-11,0.02,0.001,1000.0,100.0
bacteria,1.383648068032461e-06,Flagella,0.00011806209874039375,0.00016335639483000346,1.1999071862202386,0.001,1000.0,100.0
bacteria,1.9144819761699575e-06,Fin,2.0313284585521982e-11,3.8889417215792856e-11,0.02,0.001,1000.0,100.0
bacteria,1.9144819761699575e-06,Flagella,0.00011735042554382187,0.00022466527459952154,1.1998688210173971,0.001,1000.0,100.0
bacteria,2.6489692876105295e-06,Fin,2.8106436872194245e-11,7.44530880586067e-11,0.02,0.001,1000.0,100.0
bacteria,2.6489692876105295e-06,Flagella,0.00011639286522060662,0.00030832112526637867,1.1998150313838574,0.001,1000.0,100.0
bacteria,3.665241237079626e-06,Fin,3.888941681270537e-11,1.4253909418790544e-10,0.02,0.001,1000.0,100.0
bacteria,3.665241237079626e-06,Flagella,0.00011511686103319806,0.0004219310661420422,1.1997399902386454,0.001,1000.0,100.0
bacteria,5.071403956558132e-06,Fin,5.535711739972848e-11,2.80738304204636e-10,0.02,0.001,1000.0,100.0
bacteria,5.071403956558132e-06,Flagella,0.0001149725043501836,0.0005830720134569181,1.1996306185903507,0.001,1000.0,100.0
bacteria,7.017038286703823e-06,Fin,1.4663929287046232e-10,1.028973532407209e-09,0.02,0.001,1000.0,100.0
bacteria,7.017038286703823e-06,Flagella,0.00015207982577990635,0.0010671499601328498,1.1992881961370303,0.001,1000.0,100.0
bacteria,9.709111468707553e-06,Fin,3.884428766418229e-10,3.771435188540876e-09,0.02,0.001,1000.0,100.0
bacteria,9.709111468707553e-06,Flagella,0.00019561008683229497,0.0018992001374583155,1.1986697133022575,0.001,1000.0,100.0
bacteria,1.3433993325988988e-05,Fin,1.0289722159163824e-09,1.382320588124878e-08,0.02,0.001,1000.0,100.0
bacteria,1.3433993325988988e-05,Flagella,0.00024266559876053178,0.0032599680341961054,1.1976104217421293,0.001,1000.0,100.0
bacteria,1.8587918911465637e-05,Fin,2.7257057557380683e-09,5.066519756417438e-08,0.02,0.001,1000.0,100.0
bacteria,1.8587918911465637e-05,Flagella,0.0002891615963417359,0.0053749123051101445,1.1958934743946783,0.001,1000.0,100.0
bacteria,2.571913809059347e-05,Fin,7.220213338185863e-09,1.8569766388834703e-07,0.02,0.001,1000.0,100.0
bacteria,2.571913809059347e-05,Flagella,0.0003130056253799917,0.008050234902280575,1.1936447066332219,0.001,1000.0,100.0
bacteria,3.558623573050966e-05,Fin,1.9125176904238317e-08,6.805930537019236e-07,0.02,0.001,1000.0,100.0
bacteria,3.558623573050966e-05,Flagella,0.0005992436282298004,0.021324825014191567,1.181878945966968,0.001,1000.0,100.0
