scenario,L,propulsion,speed,Re,eff,mu,rho,freq
fish,1e-06,Fin,1.6976527263106172e-14,1.697652726310617e-14,0.02,0.001,1000.0,4.0
fish,1e-06,Flagella,4.797690158592514e-06,4.797690158592513e-06,1.1999979854196132,0.001,1000.0,4.0
fish,1.383648068032461e-06,Fin,2.3489539149461563e-14,3.2501255463125345e-14,0.02,0.001,1000.0,4.0
fish,1.383648068032461e-06,Flagella,4.7968048551999005e-06,6.637089770626071e-06,1.1999971344108782,0.001,1000.0,4.0
fish,1.9144819761699575e-06,Fin,3.250125546302862e-14,6.222306778686367e-14,0.02,0.001,1000.0,4.0
fish,1.9144819761699575e-06,Flagella,4.7955808486737015e-06,9.181053100051629e-06,1.1999959242288571,0.001,1000.0,4.0
fish,2.6489692876105295e-06,Fin,4.4970299329793165e-14,1.1912494177927448e-13,0.02,0.001,1000.0,4.0
fish,2.6489692876105295e-06,Flagella,4.793889119244941e-06,1.2698865045090141e-05,1.1999942035854,0.001,1000.0,4.0
fish,3.665241237079626e-06,Fin,6.222306778583184e-14,2.280625539462317e-13,0.02,0.001,1000.0,4.0
fish,3.665241237079626e-06,Flagella,4.7915520144197e-06,1.756219403286303e-05,1.1999917577598167,0.001,1000.0,4.0
fish,5.071403956558132e-06,Fin,8.857139032212492e-14,4.491812993174789e-13,0.02,0.001,1000.0,4.0
fish,5.071403956558132e-06,Flagella,4.856538127929929e-06,2.462946667715926e-05,1.1999881009362767,0.001,1000.0,4.0
fish,7.017038286703823e-06,Fin,2.3462289269618595e-13,1.6463578209863396e-12,0.02,0.001,1000.0,4.0
fish,7.017038286703823e-06,Flagella,6.7046783911208585e-06,4.704698497053085e-05,1.1999759738796971,0.001,1000.0,4.0
fish,9.709111468707553e-06,Fin,6.215088366498235e-13,6.03429857381989e-12,0.02,0.001,1000.0,4.0
fish,9.709111468707553e-06,Flagella,9.237521426691648e-06,8.968812522632364e-05,1.1999515937401912,0.001,1000.0,4.0
fish,1.3433993325988988e-05,Fin,1.6463578176161036e-12,2.211715993404453e-11,0.02,0.001,1000.0,4.0
fish,1.3433993325988988e-05,Flagella,1.2679608122269909e-05,0.00017033777089072973,1.1999028721093354,0.001,1000.0,4.0
fish,1.8587918911465637e-05,Fin,4.361151269574635e-12,8.106472615948872e-11,0.02,0.001,1000.0,4.0
fish,1.8587918911465637e-05,Flagella,1.7286101272393263e-05,0.00032131264874662893,1.1998065555379007,0.001,1000.0,4.0
fish,2.571913809059347e-05,Fin,1.1552555522125844e-11,2.9712177077280267e-10,0.02,0.001,1000.0,4.0
fish,2.571913809059347e-05,Flagella,2.32877492550706e-05,0.0005989408389102759,1.1996196944686066,0.001,1000.0,4.0
fish,3.558623573050966e-05,Fin,3.060236234812241e-11,1.089022880430757e-09,0.02,0.001,1000.0,4.0
fish,3.558623573050966e-05,Flagella,3.077218750815146e-05,0.0010950663186085224,1.199267968931605,0.001,1000.0,4.0
fish,4.9238826317067415e-05,Fin,8.106469445941854e-11,3.991530410933446e-09,0.02,0.001,1000.0,4.0
fish,4.9238826317067415e-05,Flagella,4.588964502322566e-05,0.0022595522610504857,1.1983939246702837,0.001,1000.0,4.0
fish,6.812920690579608e-05,Fin,2.88449900408141e-10,1.9651862946862512e-08,0.02,0.001,1000.0,4.0
fish,6.812920690579608e-05,Flagella,8.785489828980276e-05,0.005985484543273643,1.195386562781934,0.001,1000.0,4.0
fish,9.426684551178853e-05,Fin,1.0572384698074342e-09,9.966253550245712e-08,0.02,0.001,1000.0,4.0
fish,9.426684551178853e-05,Flagella,0.00016819661929407263,0.015855364726599458,1.186809922519623,0.001,1000.0,4.0
fish,0.00013043213867190053,Fin,3.335208992570075e-09,4.350184418186697e-07,0.02,0.001,1000.0,4.0
fish,0.00013043213867190053,Flagella,0.000277150761332825,0.036149366535185835,1.16823079356899,0.001,1000.0,4.0
fish,0.00018047217668271703,Fin,4.614755479054073e-09,8.328349661633831e-07,0.02,0.001,1000.0,4.0
fish,0.00018047217668271703,Flagella,0.00020030437488842987,0.036149366535185905,1.16823079356899,0.001,1000.0,4.0
fish,0.0002497099786006541,Fin,1.0570655461288515e-08,2.6395981490332423e-06,0.02,0.001,1000.0,4.0
fish,0.0002497099786006541,Flagella,0.00014476540640371175,0.03614936653518585,1.16823079356899,0.001,1000.0,4.0
fish,0.0003455107294592218,Fin,2.7981680289121153e-08,9.667970768188978e-06,0.02,0.001,1000.0,4.0
fish,0.0003455107294592218,Flagella,0.00015903127447388035,0.05494701165030012,1.1506970762007098,0.001,1000.0,4.0
fish,0.00047806525330073803,Fin,7.393295881923682e-08,3.534477868519148e-05,0.02,0.001,1000.0,4.0
fish,0.00047806525330073803,Flagella,0.00021184161967955996,0.10127411757174745,1.1078070316600441,0.001,1000.0,4.0
fish,0.0006614740641230146,Fin,1.9404760535382595e-07,0.00012835745814673412,0.02,0.001,1000.0,4.0
fish,0.0006614740641230146,Flagella,0.000274460652200367,0.18154860305282997,1.0373069296535733,0.001,1000.0,4.0
fish,0.0009152473108773893,Fin,4.979317753148555e-07,0.00045573071835732583,0.02,0.001,1000.0,4.0
fish,0.0009152473108773893,Flagella,0.0003422605393696706,0.31325303827753587,0.9348854001044968,0.001,1000.0,4.0
fish,0.0012663801734674035,Fin,1.197513370720048e-06,0.0015165071901419897,0.02,0.001,1000.0,4.0
fish,0.0012663801734674035,Flagella,0.00040832633359890954,0.5170963731742959,0.8060895577686089,0.001,1000.0,4.0
fish,0.0017522244804127837,Fin,2.530878515695966e-06,0.0044346672921532415,0.02,0.001,1000.0,4.0
fish,0.0017522244804127837,Flagella,0.0004664175446645594,0.8172682398552639,0.6654648846058243,0.001,1000.0,4.0
fish,0.0024244620170823282,Fin,4.838658862101183e-06,0.011731144624783117,0.02,0.001,1000.0,4.0
fish,0.0024244620170823282,Flagella,0.0004888494794357964,1.185196994962557,0.5448135117499213,0.001,1000.0,4.0
fish,0.0033546021859540433,Fin,1.281721929205531e-05,0.04299667185498108,0.02,0.001,1000.0,4.0
fish,0.0033546021859540433,Flagella,0.000516246930931847,1.7318030829960398,0.4262435478970779,0.001,1000.0,4.0
fish,0.004641588833612777,Fin,0.0005459840893221674,2.534233652328013,0.44019187840730784,0.001,1000.0,4.0
fish,0.004641588833612777,Flagella,0.000532252744769347,2.470498396781153,0.327003317174543,0.001,1000.0,4.0
fish,0.006422325422229356,Fin,0.002416850231949179,15.521798686368129,0.8490737978754596,0.001,1000.0,4.0
fish,0.006422325422229356,Flagella,0.0005384487199650834,3.4580929027986103,0.24761551151416428,0.001,1000.0,4.0
fish,0.008886238162743407,Fin,0.0051267037431208425,45.557110451199904,0.9476677140668617,0.001,1000.0,4.0
fish,0.008886238162743407,Flagella,0.0005314959741407599,4.7229998087541025,0.18763516628125973,0.001,1000.0,4.0
fish,0.012295426265956215,Fin,0.009225141138937428,113.42704266684449,0.9799011977191168,0.001,1000.0,4.0
fish,0.012295426265956215,Flagella,0.000497080897502713,6.1118215234599464,0.14745714913978483,0.001,1000.0,4.0
fish,0.017012542798525893,Fin,0.015167672568173878,258.0406787200852,0.9916674677773134,0.001,1000.0,4.0
fish,0.017012542798525893,Flagella,0.000430333870978901,7.3210733976838736,0.12392077664397431,0.001,1000.0,4.0
fish,0.023539371975499858,Fin,0.023548359646200175,554.3135971247561,0.9963500632618769,0.001,1000.0,4.0
fish,0.023539371975499858,Flagella,0.0003475601645659535,8.181347997583925,0.1111434009523144,0.001,1000.0,4.0
fish,0.03257020655659783,Fin,0.03839064752644909,1250.3913197779884,0.998487707114924,0.001,1000.0,4.0
fish,0.03257020655659783,Flagella,0.0002676139682519855,8.71624222339798,0.10440043227362499,0.001,1000.0,4.0
fish,0.045065703377454774,Fin,0.05536437708752103,2495.034595503776,0.9992851276463252,0.001,1000.0,4.0
fish,0.045065703377454774,Flagella,0.00020022811672199285,9.02342091601972,0.10087125991574054,0.001,1000.0,4.0
fish,0.062355073412739125,Fin,0.07715069788038971,4810.737430175757,0.99964940533087,0.001,1000.0,4.0
fish,0.062355073412739125,Flagella,0.00014741701505539706,9.192198796066153,0.09902777706717047,0.001,1000.0,4.0
fish,0.08627747685955875,Fin,0.10708037264809621,9238.624373259048,0.99982734081727,0.001,1000.0,4.0
fish,0.08627747685955875,Flagella,0.00010759176285404154,9.282745829918701,0.09806511995751381,0.001,1000.0,4.0
fish,0.11937766417144358,Fin,0.14839341730122535,17714.85953583857,0.9999148358042851,0.001,1000.0,4.0
fish,0.11937766417144358,Flagella,7.81612774837308e-05,9.33071073466383,0.09756240170897972,0.001,1000.0,4.0
fish,0.16517667439704584,Fin,0.20549251468949586,33942.570189897015,0.9999579606238768,0.001,1000.0,4.0
fish,0.16517667439704584,Flagella,5.664207478896286e-05,9.355949544589638,0.09729985067969807,0.001,1000.0,4.0
fish,0.22854638641349884,Fin,0.28445549533191306,65011.27555357061,0.9999792402071492,0.001,1000.0,4.0
fish,0.22854638641349884,Flagella,4.099466921086344e-05,9.36918351035956,0.0971627218916012,0.001,1000.0,4.0
fish,0.31622776601683794,Fin,0.3936862573308038,124494.52566725007,0.999989746443026,0.001,1000.0,4.0
fish,0.31622776601683794,Flagella,2.9649863184473995e-05,9.376109997531099,0.0970910978254781,0.001,1000.0,4.0
