sweep,scenario,propulsion,rho,mu,L,freq,speed,Re
mu,bacteria,Fin,1000.0,1e-06,5e-06,100.0,5.171445538465491e-08,0.00025857227692327456
mu,bacteria,Fin,1000.0,1.226330684177562e-06,5e-06,100.0,4.25232236089812e-08,0.00017337584453209446
mu,bacteria,Fin,1000.0,1.5038869469554102e-06,5e-06,100.0,3.4872047915968096e-08,0.00011593972534493328
mu,bacteria,Fin,1000.0,1.8442627085855328e-06,5e-06,100.0,2.8544871799596194e-08,7.738830174983269e-05
mu,bacteria,Fin,1000.0,2.2616759492228647e-06,5e-06,100.0,2.333639015361655e-08,5.159092345133523e-05
mu,bacteria,Fin,1000.0,2.773562614198412e-06,5e-06,100.0,1.9062113221224308e-08,3.436394967909073e-05
mu,bacteria,Fin,1000.0,3.401304938279253e-06,5e-06,100.0,1.5561838484501322e-08,2.2876276556923737e-05
mu,bacteria,Fin,1000.0,4.171124612056516e-06,5e-06,100.0,1.2699456153342226e-08,1.5223060127039615e-05
mu,bacteria,Fin,1000.0,5.1151780992931454e-06,5e-06,100.0,1.0360924118657522e-08,1.0127627931556552e-05
mu,bacteria,Fin,1000.0,6.272899858196244e-06,5e-06,100.0,8.451582100832411e-09,6.736582993421676e-06
mu,bacteria,Fin,1000.0,7.692649574879146e-06,5e-06,100.0,6.893319248746366e-09,4.480458378902995e-06
mu,bacteria,Fin,1000.0,9.433732216299773e-06,5e-06,100.0,5.6219362498666214e-09,2.979698872601524e-06
mu,bacteria,Fin,1000.0,1.1568875283162833e-05,5e-06,100.0,4.584813861896464e-09,1.981529642976242e-06
mu,bacteria,Fin,1000.0,1.4187266741165961e-05,5e-06,100.0,3.738893195048831e-09,1.317693274984395e-06
mu,bacteria,Fin,1000.0,1.7398280529303622e-05,5e-06,100.0,3.0489784030862666e-09,8.762298084431174e-07
mu,bacteria,Fin,1000.0,2.133604526501411e-05,5e-06,100.0,2.4863351377746312e-09,5.826607290367002e-07
mu,bacteria,Fin,1000.0,2.6165046987488235e-05,5e-06,100.0,2.0274995016222874e-09,3.8744426917937697e-07
mu,bacteria,Fin,1000.0,3.2086999973704505e-05,5e-06,100.0,1.653326808792599e-09,2.576318774188161e-07
mu,bacteria,Fin,1000.0,3.934927263095845e-05,5e-06,100.0,1.3482002181319785e-09,1.7131196182153417e-07
mu,bacteria,Fin,1000.0,4.825522042741279e-05,5e-06,100.0,1.0993832511019264e-09,1.139134005983516e-07
